No.,Title,Country,Source,Update frequency,Status,Year,Month,Indicator,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5,Sub 6,Unit,Value,Access Date,Publish Date,Link (if available),Note,Note.1
9,Inflation Rate,Indonesia,Bank Indonesia,Monthly,Real,2022,December,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,5.51,2023-09-26 09:55:39,,https://www.bi.go.id/en/statistik/indikator/data-inflasi.aspx,Just show only month,NaN
10,Inflation Rate,Indonesia,Bank Indonesia,Monthly,Real,2022,November,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,5.42,2023-09-26 09:55:39,,https://www.bi.go.id/en/statistik/indikator/data-inflasi.aspx,Just show only month,NaN
28,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,January,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,0.660568,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
29,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,February,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,0.67648,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
30,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,March,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,1.09105,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
31,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,April,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,1.46936,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
32,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,May,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,1.61,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
33,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,June,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,1.98,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
34,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,July,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,2.62897,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
35,Inflation Rate,Vietname,GENERAL STATISTICS OFFICE,Monthly,Real,2022,August,Inflation,NaN,NaN,NaN,NaN,NaN,NaN,Percentage,3.06384,2023-09-26 10:38:44,1970-01-01,https://nsdp.gso.gov.vn/index.htm,2019,NaN
